Instrument,DSPLY_NMLL,COUNTRY
BFCCOV=ECI,NCOV19 Tot Cases RTR,BFA
BFCOVD=ECI,COVID19 Tot Cases WHO,BFA
BFDCOV=ECI,NCOV19 Deaths RTR,BFA
BFNCOV=ECI,NCOV19 New Cases RTR,BFA
BFRCOV=ECI,NCOV19 Recovered RTR,BFA
BGACOV=ECI,NCOV19 Act Cases RTR,BGR
BGCCOV=ECI,NCOV19 Tot Cases RTR,BGR
BGCOVD=ECI,COVID19 Tot Cases WHO,BGR
BGDCOV=ECI,NCOV19 Deaths RTR,BGR
BGNCOV=ECI,NCOV19 New Cases RTR,BGR
BGRCOV=ECI,NCOV19 Recovered RTR,BGR
BHACOV=ECI,NCOV19 Act Cases RTR,BHR
BHCCOV=ECI,NCOV19 Tot Cases RTR,BHR
BHCOVD=ECI,COVID19 Tot Cases WHO,BHR
BHDCOV=ECI,NCOV19 Deaths RTR,BHR
BHNCOV=ECI,NCOV19 New Cases RTR,BHR
BHRCOV=ECI,NCOV19 Recovered RTR,BHR
BJACOV=ECI,NCOV19 Act Cases RTR,BEN
BJCCOV=ECI,NCOV19 Tot Cases RTR,BEN
BJCOVD=ECI,COVID19 Tot Cases WHO,BEN
BJDCOV=ECI,NCOV19 Deaths RTR,BEN
BJNCOV=ECI,NCOV19 New Cases RTR,BEN
BJRCOV=ECI,NCOV19 Recovered RTR,BEN
BMACOV=ECI,NCOV19 Act Cases RTR,BMU
BMCCOV=ECI,NCOV19 Tot Cases RTR,BMU
BMCOVD=ECI,COVID19 Tot Cases WHO,BMU
BMDCOV=ECI,NCOV19 Deaths RTR,BMU
BMNCOV=ECI,NCOV19 New Cases RTR,BMU
BMRCOV=ECI,NCOV19 Recovered RTR,BMU
BNACOV=ECI,NCOV19 Act Cases RTR,BRN
BNCCOV=ECI,NCOV19 Tot Cases RTR,BRN
BNCOVD=ECI,COVID19 Tot Cases WHO,BRN
BNDCOV=ECI,NCOV19 Deaths RTR,BRN
BNNCOV=ECI,NCOV19 New Cases RTR,BRN
BNRCOV=ECI,NCOV19 Recovered RTR,BRN
BOACOV=ECI,NCOV19 Act Cases RTR,BOL
BOCCOV=ECI,NCOV19 Tot Cases RTR,BOL
BOCOVD=ECI,COVID19 Tot Cases WHO,BOL
BODCOV=ECI,NCOV19 Deaths RTR,BOL
BONCOV=ECI,NCOV19 New Cases RTR,BOL
BORCOV=ECI,NCOV19 Recovered RTR,BOL
BRACOV=ECI,NCOV19 Act Cases RTR,BRA
BRCCOV=ECI,NCOV19 Tot Cases RTR,BRA
